id,severity,title,description,iacontrols,ruleid,fixid,fixtext,checkid,checktext
V-26693,medium,Applications must not enable information system functionality providing the capability for automatic execution of code on mobile devices without user direction.,"Mobile devices include portable storage media (e.g., USB memory sticks, external hard disk drives) and portable computing and communications devices with information storage capability (e.g., notebook/laptop computers, personal digital assistants, cellular telephones, digital cameras, and audio recording devices).  

Auto execution vulnerabilities can result in malicious programs being automatically executed.  Examples of information system functionality providing the capability for automatic execution of code are Auto Run and Auto Play.  Auto Run and Auto Play are components of the Microsoft Windows operating system dictating what actions the system takes when a drive is mounted. This requirement is designed to address vulnerabilities arising when mobile devices such as USB memory sticks or other mobile storage devices are automatically mounted and applications are automatically invoked without user knowledge or acceptance.
",None,SV-33936r1_rule,None,None,None,None
V-35150,medium,"The application server must provide the capability for authorized users to capture, record, and log all content related to a user session.",The application server must be capable of enabling a setting for troubleshooting or debugging purposes which will log all user session information specified by an authorized user.,None,SV-46437r3_rule,F-39700r2_fix,"Configure the application server to provide the capability for authorized users to capture, record, and log all content related to a user session.",C-43536r2_chk,"Review the application server documentation to determine if the application server can be configured to capture/record and log all content related to a user session.

If the application server does not have the capability to allow an authorized user to capture, record, and log all content related to a user session, this is a finding."
V-27170,medium,The application must associate security attributes with information exchanged between information systems.,"When data is exchanged between information systems, the security attributes associated with said data needs to be maintained.  

Security attributes are an abstraction representing the basic properties or characteristics of an entity with respect to safeguarding information, typically associated with internal data structures (e.g., records, buffers, files) within the information system and used to enable the implementation of access control and flow control policies, reflect special dissemination, handling or distribution instructions, or support other aspects of the information security policy. 

Security attributes may be explicitly or implicitly associated with the information contained within the information system. ",None,SV-34469r1_rule,None,None,None,None
V-27084,medium,Applications scanning for malicious code must support organizational requirements to configure malicious code protection mechanisms to perform periodic scans of the information system on an organization-defined frequency.,"Malicious code protection mechanisms include but are not limited to anti-virus and malware detection software. In order to minimize potential negative impact to the organization that can be caused by malicious code, it is imperative that malicious code is identified and eradicated. 

Malicious code includes, viruses, worms, Trojan horses, and Spyware. It is not enough to simply have the software installed.  This software must periodically scan the system to search for malware on an organization defined frequency. ",None,SV-34379r1_rule,None,None,None,None
V-27163,medium,The application must protect audit tools from unauthorized access.,"Protecting audit data also includes identifying and protecting the tools used to view and manipulate log data. 

Depending upon the log format and application, system and application log tools may provide the only means to manipulate and manage application and system log data. 

It is, therefore, imperative that access to audit tools be controlled and protected from unauthorized access.  

Applications providing tools to interface with audit data will leverage user permissions and roles identifying the user accessing the tools and the corresponding rights the user enjoys in order make access decisions regarding the access to audit tools.

Audit tools include but are not limited to OS provided audit tools, vendor provided audit tools, and open source audit tools needed to successfully view and manipulate audit information system activity and records. ",None,SV-34462r1_rule,None,None,None,None
V-26848,medium,"The information system must provide additional protection for mobile devices accessed via login by purging information from the device after organization-defined number of consecutive, unsuccessful login attempts to the mobile device.","Mobile devices present additional risks related to attempted unauthorized access.  If they are lost, stolen or misplaced, attempts can be made to unlock the device by guessing the pin.  In order to address this risk, mobile devices shall provide additional protection enabling the device to automatically wipe itself clean and purge itself of any and all data. 

This does not apply to applications.  This is a requirement for Mobile Devices (smart phones, PDAs, etc) to be able to purge themselves of data if x number of failed login attempts occur.

This requirement applies only to mobile devices for which a login occurs (e.g., personal digital assistants and smart phones) and not to mobile devices accessed without a login such as removable media. In certain situations, this requirement may not apply to mobile devices if the information on the device is encrypted with sufficiently strong encryption mechanisms, making purging unnecessary. The login is to the mobile device, not to any one account on the device. 

Therefore, a successful login to any account on the mobile device resets the unsuccessful login count to zero. ",None,SV-34128r1_rule,None,None,None,None
V-27067,medium,Applications must support the requirement to activate an alarm and/or automatically shut down the information system if an application component failure is detected.  This can include conducting a graceful application shutdown to avoid losing information.,"Predictable failure prevention requires organizational planning to address system failure issues. If components key to maintaining systems security fail to function, the system could continue operating in an insecure state. The organization must be prepared and the application must support requirements that specify if the application must alarm for such conditions and/or automatically shut down the application or the system. ",None,SV-34362r1_rule,None,None,None,None
V-69495,medium,The application must back up audit records at least every seven days onto a different system or system component than the system or component being audited.,"Protection of log data includes assuring log data is not accidentally lost or deleted. Backing up audit records to a different system or onto separate media than the system being audited on an organizationally defined frequency helps to assure in the event of a catastrophic system failure, the audit records will be retained.

This helps to ensure a compromise of the information system being audited does not also result in a compromise of the audit records.

This requirement only applies to applications that have a native backup capability for audit records. Operating system backup requirements cover applications that do not provide native backup functions.",None,SV-84117r1_rule,F-75671r1_fix,Configure application backup settings to backup application audit logs every 7 days.,C-69913r1_chk,"Review the application documentation and interview the application administrator.

Identify log functionality and locations of log files.

If the application does not include a built-in backup capability for backing up its own audit records, this requirement is not applicable.

Access the management interface for configuring application audit logs and review the backup settings.

If the application backup settings are not configured to backup application audit records every 7 days, this is a finding."
V-27105,medium,The application must support taking organization-defined list of least-disruptive actions to terminate suspicious events. ,System availability is a key tenet of system security. Organizations need to have the flexibility to be able to define the automated actions taken in response to an identified incident. This includes being able to define a least disruptive action that the application takes to terminate suspicious events.  A least disruptive action may include initiating a request for human response rather than blocking traffic or disrupting system operation.,None,SV-34400r1_rule,None,None,None,None
V-70157,high,The application must not display passwords/PINs as clear text.,"To prevent the compromise of authentication information such as passwords during the authentication process, the feedback from the information system must not provide any information that would allow an unauthorized user to compromise the authentication mechanism.

Obfuscation of user-provided information when typed into the system is a method used in addressing this risk.

For example, displaying asterisks when a user types in a password is an example of obscuring feedback of authentication information.

A common tactic employed to circumvent password obfuscation is to copy the obfuscated password and paste it to a text file.  Proper obfuscation techniques will not paste the clear text password.",None,SV-84779r1_rule,F-76393r1_fix,"Configure the application to obfuscate passwords and PINs when they are being entered so they cannot be read.

Design the application so obfuscated passwords cannot be copied and then pasted as clear text.",C-70633r1_chk,"Ask the application admin to log on to the application.

Observe the authentication process and verify any display feedback provided when the admin enters her/his password is obfuscated and not clear text.

Using a text editor, copy the obfuscated password and paste to a text file.  Do not save the file.

If the application displays clear text when the password/PIN is entered, or if the clear text password is displayed when pasted, this is a finding."
V-26891,medium,Applications must validate the binding of the information producer’s identity to the information.,"Non-repudiation protects individuals against later claims by an author of not having authored a particular document, a sender of not having transmitted a message, a receiver of not having received a message, or a signatory of not having signed a document.

This non-repudiation control enhancement is intended to mitigate the risk that information gets modified between production and review. The validation of bindings can be achieved, for example, by the use of cryptographic checksums. ",None,SV-34171r1_rule,None,None,None,None
V-70281,medium,Security-relevant software updates and patches must be kept up to date.,"Security flaws with software applications are discovered daily. Vendors are constantly updating and patching their products to address newly discovered security vulnerabilities. Organizations (including any contractor to the organization) are required to promptly install security-relevant software updates (e.g., patches, service packs, and hot fixes). Flaws discovered during security assessments, continuous monitoring, incident response activities, or information system error handling must also be addressed expeditiously.

Organization-defined time periods for updating security-relevant software may vary based on a variety of factors including, for example, the security category of the information system or the criticality of the update (i.e., severity of the vulnerability related to the discovered flaw).

This requirement will apply to software patch management solutions that are used to install patches across the enclave and also to applications themselves that are not part of that patch management solution. For example, many browsers today provide the capability to install their own patch software. Patch criticality, as well as system criticality will vary. Therefore, the tactical situations regarding the patch management process will also vary. This means that the time period utilized must be a configurable parameter. Time frames for application of security-relevant software updates may be dependent upon the Information Assurance Vulnerability Management (IAVM) process.

The application, or the patch management solution that is configured to patch the application, must be configured to check for and install security-relevant software updates and patches at least weekly. Patches must be applied immediately or in accordance with POA&Ms, IAVMs, CTOs, DTMs or other authoritative patching guidelines or sources.",None,SV-84903r1_rule,F-76517r1_fix,"Check for application updates at least weekly and apply patches immediately or in accordance with POA&Ms, IAVMs, CTOs, DTMs or other authoritative patching guidelines or sources.",C-70757r1_chk,"Review the application documentation to identify application versions and patching.

Interview the application administrator and inquire about patching process.

Review IAVMs and CTOs to determine if the application is being updated in accordance with authoritative sources.

If application updates are not checked on at least on a weekly basis and applied immediately or in accordance with POA&Ms, IAVMs, CTOs, DTMs or other authoritative patching guidelines or sources, this is a finding."
V-35304,medium,The application server must provide security extensions to extend the SOAP protocol and provide secure authentication when accessing sensitive data.,"Application servers may provide a web services capability that could be leveraged to allow remote access to sensitive application data. A web service, which is a repeatable process used to make data available to remote clients, should not be confused with a web server. 

Many web services utilize SOAP, which in turn utilizes XML and HTTP as a transport. Natively, SOAP does not provide security protections. As such, the application server must provide security extensions to enhance SOAP capabilities to ensure that secure authentication mechanisms are employed to protect sensitive data. The WS_Security suite is a widely used and acceptable SOAP security extension.",None,SV-46591r3_rule,F-39850r2_fix,"Configure the application server to utilize secure authentication when SOAP web services are used to access sensitive data. 
",C-43673r3_chk,"Review application server documentation to ensure the application server provides extensions to the SOAP protocol that provide secure authentication. These protocols include, but are not limited to, WS_Security suite.  Review policy and data owner protection requirements in order to identify sensitive data.

If secure authentication protocols are not utilized to protect data identified by data owner as requiring protection, this is a finding."
V-26847,medium,The application must produce audit records containing sufficient information to establish when (date and time) the events occurred.,"Information system auditing capability is critical for accurate forensic analysis.   Audit record content that may be necessary to satisfy the requirement of this control, includes:  time stamps, source and destination addresses, user/process identifiers, event descriptions, success/fail indications, filenames involved, and access control or flow control rules invoked.",None,SV-34127r1_rule,None,None,None,None
V-35309,medium,"The application server must disable identifiers (individuals, groups, roles, and devices) after 35 days of inactivity.","Inactive identifiers pose a risk to systems and applications. Attackers that are able to exploit an inactive identifier can potentially obtain and maintain undetected access to the application. Owners of inactive accounts will not notice if unauthorized access to their user account has been obtained. 

Applications need to track periods of inactivity and disable application identifiers after 35 days of inactivity. 

Management of user identifiers is not applicable to shared information system accounts (e.g., guest and anonymous accounts). It is commonly the case that a user account is the name of an information system account associated with an individual.

To avoid having to build complex user management capabilities directly into their application, wise developers leverage the underlying OS or other user account management infrastructure (AD, LDAP) that is already in place within the organization and meets organizational user account management requirements.",None,SV-46596r3_rule,F-39855r2_fix,"Configure the application server to disable identifiers (individuals, groups, roles, and devices) after 35 days of inactivity.",C-43678r2_chk,"Review the application server documentation and configuration to ensure the application server disables identifiers (individuals, groups, roles, and devices) after 35 days of inactivity.

If the application server is not configured to disable identifiers (individuals, groups, roles, and devices) after 35 days of inactivity, this is a finding."
V-69297,medium,Shared/group account credentials must be terminated when members leave the group.,"If shared/group account credentials are not terminated when individuals leave the group, the user that left the group can still gain access even though they are no longer authorized. A shared/group account credential is a shared form of authentication that allows multiple individuals to access the application using a single account. There may also be instances when specific user actions need to be performed on the information system without unique user identification or authentication. Examples of credentials include passwords and group membership certificates.",None,SV-83919r1_rule,F-75469r1_fix,Create a procedure for deleting either member accounts or the entire group account when members leave the group.,C-69707r1_chk,"Review the application documentation and determine if there is a requirement for shared or group accounts.

If there is no official requirement for shared or group application accounts, this requirement is not applicable.

Interview the application representative and identify shared/group accounts.

Have the application representative provide their procedures for account management as it pertains to group users.

Validate there is a procedure for deleting either member accounts or the entire group account when member leave the group.

If there is no process for handling group account credentials, this is a finding."
V-30582,medium,The application must notify appropriate individuals when account disabling actions are taken.,"When application accounts are disabled, user accessibility is affected.  Accounts are utilized for identifying individual application users or for identifying the application processes themselves. 

In order to detect and respond to events that affect user accessibility and application processing, applications must audit account disabling actions and, as required, notify as required the appropriate individuals so they can investigate the event.  Such a capability greatly reduces the risk that application accessibility will be negatively affected for extended periods of time and also provides logging that can be used for forensic purposes.    

To address the multitude of policy based access requirements, many application developers choose to integrate their applications with enterprise level authentication/access mechanisms that meet or exceed access control policy requirements.  Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality. 

Examples of enterprise level authentication/access mechanisms include but are not limited to Active Directory and LDAP.

Applications must notify, or leverage other mechanisms that notify, the appropriate individuals when accounts disabling actions are taken.",None,SV-40322r1_rule,None,None,None,None
V-26810,medium,The information system must enforce organization-defined one-way flows using hardware mechanisms.,"This is a requirement to enforce information flow with a hardware device or mechanism.  By definition, this is not related to software applications.  This is expected to be addressed via hardware.

Does not apply to applications.",None,SV-34060r1_rule,None,None,None,None
V-30584,medium,Applications utilizing mobile code must meet DoD-defined mobile code requirements.,"Decisions regarding the deployment of mobile code within organizational information systems are based on the potential for the code to cause damage to the system if used maliciously. 

Mobile code technologies include but are not limited to:  Java, JavaScript, ActiveX, PDF, Postscript, Shockwave movies, Flash animations, and VBScript. Usage restrictions and implementation guidance apply to both the selection and use of mobile code installed on organizational servers and mobile code downloaded and executed on individual workstations. 

DoDI 8552.01 policy pertains to the use of mobile code technologies within DoD information systems. 

Applications utilizing mobile code must meet policy requirements regarding the deployment, and/or use of mobile code. ",None,SV-40324r1_rule,None,None,None,None
V-69469,medium,The application must provide a report generation capability that supports on-demand reporting requirements.,"The report generation capability must support on-demand reporting in order to facilitate the organization's ability to generate incident reports as needed to better handle larger-scale or more complex security incidents.

The report generation capability provided by the application must be capable of generating on-demand (i.e., customizable, ad-hoc, and as-needed) reports. On-demand reporting allows personnel to report issues more rapidly to more effectively meet reporting requirements. Collecting log data and aggregating it to present the data in a single, consolidated report achieves this objective.

This requirement is specific to applications with report generation capabilities; however, applications need to support on-demand reporting requirements.",None,SV-84091r1_rule,F-75645r1_fix,Design or configure the application to provide an on-demand report generation capability or utilize a centralized utility designed for the purpose of on-demand log management and reporting.,C-69887r1_chk,"Review the application documentation and interview the application administrator for details regarding audit reduction (log record event filtering).

Access the application with user rights sufficient to read and filter audit records.

Navigate the application user interface and select the application functionality that provides access and interface to audit records and audit reduction (event filtering).

If the application uses a centralized logging solution that provides immediate, customizable, ad-hoc report generation functions, the requirement is not applicable.

Create an event report. Report data can be based on date ranges, times or events, or other criteria that could be used in an investigation. Use of data from previous checks for audit reduction is encouraged.

Review the report and ensure the data in the report coincides with event filters used to create the report.

If the application does not provide customizable, immediate, ad-hoc audit log reporting, this is a finding."
V-27093,medium,"The organization must analyze outbound communications traffic at the external boundary of the system (i.e., system perimeter).","Anomalies within the information system include, for example, large file transfers, long-time persistent connections, unusual protocols and ports in use, and attempted communications with suspected malicious external addresses.  

This is a requirement to analyze outbound traffic.  This does not apply to applications.",None,SV-34388r1_rule,None,None,None,None
V-57539,medium,The application server must maintain the confidentiality and integrity of information during reception.,"Information can be either unintentionally or maliciously disclosed or modified during reception, including, for example, during aggregation, at protocol transformation points, and during packing/unpacking.  These unauthorized disclosures or modifications compromise the confidentiality or integrity of the information.

Protecting the confidentiality and integrity of received information requires that application servers take measures to employ approved cryptography in order to protect the information during transmission over the network. This is usually achieved through the use of Transport Layer Security (TLS), SSL VPN, or IPSEC tunnel.

The application server must utilize approved encryption when receiving transmitted data.",None,SV-71815r2_rule,F-62607r1_fix,Configure the application server to utilize a transmission method that maintains the confidentiality and integrity of information during reception.,C-58247r1_chk,"Review application server configuration to determine if the server is using a transmission method that maintains the confidentiality and integrity of information during reception.

If a transmission method is not being used that maintains the confidentiality and integrity of the data during reception, this is a finding."
V-35436,medium,"The application server must check the validity of all data inputs to the management interface, except those specifically identified by the organization.","Invalid user input occurs when a user inserts data or characters into an applications data entry field and the application is unprepared to process that data. This results in unanticipated application behavior potentially leading to an application or information system compromise. Invalid user input is one of the primary methods employed when attempting to compromise an application.

Application servers must ensure their management interfaces perform data input validation checks. Input validation consists of evaluating user input and ensuring that only allowed characters are utilized. An example is ensuring that the interfaces are not susceptible to SQL injection attacks.",None,SV-46723r3_rule,F-39980r2_fix,Configure the application server to check the validity of data inputs into the management interface except those specifically identified by the organization.,C-43790r2_chk,"Review the application server configuration to determine if the system checks the validity of information inputs to the management interface, except those specifically identified by the organization.

If the management interface data inputs are not validated, this is a finding."
V-27042,medium,Applications functioning in the capacity of a firewall must check incoming communications to ensure the communications are coming from an authorized source and routed to an authorized destination.,"In regards to boundary controls such as routers and firewalls, examples of restricting and prohibiting communications are: restricting external web traffic only to organizational web servers within managed interfaces and prohibiting external traffic that appears to be spoofing an internal address as the source. ",None,SV-34337r1_rule,None,None,None,None
V-26973,medium,The application must use multifactor authentication for network access to privileged accounts.,"Multifactor authentication is defined as: using two or more factors to achieve authentication. 

Factors include: 
(i) something a user knows (e.g., password/PIN); 
(ii) something a user has (e.g., cryptographic identification device, token); or 
(iii) something a user is (e.g., biometric). 

A privileged account is defined as:  
An information system account with authorizations of a privileged user. 

Network Access is defined as: 
Access to an information system by a user (or a process acting on behalf of a user) communicating through a network (e.g., local area network, wide area network, Internet). ",None,SV-34261r1_rule,None,None,None,None
V-69285,medium,"The application must ensure encrypted assertions, or equivalent confidentiality protections are used when assertion data is passed through an intermediary, and confidentiality of the assertion data is required when passing through the intermediary.","SAML is a standard for exchanging authentication and authorization data between security domains.  SAML uses security tokens containing assertions to pass information about a principal (usually an end user) between a SAML authority, (identity provider), and a SAML consumer, (service provider).  SAML assertions are usually made about a subject, (user) represented by the <Subject> element.   

The confidentially of the data in a message as the message is passed through an intermediary web service may be required to be restricted by the intermediary web service. The intermediary web service may leak or distribute the data contained in a message if not encrypted or protected.",None,SV-83907r1_rule,F-75455r1_fix,Encrypt assertions or use equivalent confidentiality when sensitive assertion data is passed through an intermediary.,C-69693r1_chk,"Ask the application representative for the design document.

Review the design document for web services using WS-Security tokens.  

If the application does not utilize WS-Security tokens, this check is not applicable.

Verify all WS-Security tokens are transmitted via an approved encryption method.

If the design document does not exist, or does not indicate all WS-Security tokens are only transmitted via an approved encryption method, this is a finding."
V-69361,medium,"The application must provide the capability for organization-identified individuals or roles to change the auditing to be performed on all application components, based on all selectable event criteria within organization-defined time thresholds.","If authorized individuals do not have the ability to modify auditing parameters in response to a changing threat environment, the organization may not be able to effectively respond, and important forensic information may be lost.

This requirement enables organizations to extend or limit auditing as necessary to meet organizational requirements. Auditing that is limited to conserve information system resources may be extended to address certain threat situations. In addition, auditing may be limited to a specific set of events to facilitate audit reduction, analysis, and reporting. Organizations can establish time thresholds in which audit actions are changed, for example, near real-time, within minutes, or within hours.",None,SV-83983r1_rule,F-75535r1_fix,Design the application to provide the capability for individuals or roles to change the auditing to be performed on all application components.,C-69775r1_chk,"Review the application documentation and interview the application administrator to identify the auditing configuration capabilities of the application.

Access the audit management settings of the application as an authorized user and evaluate the verbosity capabilities of the log settings.

Determine if the settings are available to readily increase or decrease logging verbosity on demand for identified roles or individuals.

Review log files and identify what information is retained in the logs.

Increase logging verbosity to include additional application components or details in the logs. For example, if standard log settings do not include connection resets or process errors, add those settings to the log configuration and re-examine the logs to ensure the number of data points being logged has increased and includes those values.

Next decrease logging verbosity to the minimum data and re-examine the logs to ensure the log verbosity has changed.

If the application does not have the ability for specific roles or individuals to change the auditing verbosity performed on all application components, this is a finding."
V-57415,medium,The application server must provide the capability to immediately disconnect or disable remote access to the management interface.,"Without the ability to immediately disconnect or disable remote access, an attack or other compromise taking progress would not be immediately stopped.

The application server must have the capability to immediately disconnect current users remotely accessing the management interface and/or disable further remote access. The speed of disconnect or disablement varies based on the criticality of missions/business functions and the need to eliminate immediate or future remote access to organizational information systems.",None,SV-71687r2_rule,F-62453r1_fix,Configure the application server to have the capability to immediately disconnect or disable remote access to the management interface.,C-58091r1_chk,"Review the application server product documentation and server configuration to ensure that there is a capability to immediately disconnect or disable remote access to the management interface.

If there is no capability, this is a finding."
V-27065,medium,The application must only generate error messages that provide information necessary for corrective actions without revealing organization-defined sensitive or potentially harmful information in error logs and administrative messages that could be exploited. ,"Any application providing too much information in error logs and in administrative messages to the screen risks compromising the data and security of the application and system. The structure and content of error messages needs to be carefully considered by the organization and development team. 

The extent to which the application is able to identify and handle error conditions is guided by organizational policy and operational requirements.  Sensitive information includes, account numbers, social security numbers, and credit card numbers.",None,SV-34360r1_rule,None,None,None,None
V-27169,medium,Software and/or firmware used for collaborative computing devices must prohibit remote activation excluding the organization-defined exceptions where remote activation is to be allowed.,"Collaborative computing devices include, networked white boards, cameras, and microphones. Collaborative software examples include instant messaging or chat clients. ",None,SV-34468r1_rule,None,None,None,None
V-35426,medium,The application server must employ cryptographic mechanisms to ensure confidentiality and integrity of all information at rest when stored off-line.,"This control is intended to address the confidentiality and integrity of information at rest in non-mobile devices and covers user information and system information. Information at rest refers to the state of information when it is located on a secondary storage device (e.g., disk drive, tape drive) within an organizational information system.

Application servers generate information throughout the course of their use, most notably, log data.  If the data is not encrypted while at rest, the data used later for forensic investigation cannot be guaranteed to be unchanged and cannot be used for prosecution of an attacker.  To accomplish a credible investigation and prosecution, the data integrity and information confidentiality must be guaranteed.

Application servers must provide the capability to protect all data, especially log data, so as to ensure confidentiality and integrity.",None,SV-46713r3_rule,F-39970r3_fix,Configure the application server to employ cryptographic mechanisms to ensure confidentiality and integrity of all application server data at rest when stored off-line.,C-43777r2_chk,"Review the application server configuration to ensure the system is protecting the confidentiality and integrity of all application server data at rest when stored off-line.

If the application server is not configured to protect all application server data at rest when stored off-line, this is a finding."
V-35440,medium,The application server must only generate error messages that provide information necessary for corrective actions without revealing sensitive or potentially harmful information in error logs and administrative messages.,"Any application providing too much information in error logs and in administrative messages to the screen risks compromising the data and security of the application and system. The structure and content of error messages needs to be carefully considered by the organization and development team.

The application server must not log sensitive information such as passwords, private keys, or other sensitive data. This requirement pertains to logs that are generated by the application server and application server processes, not the applications that may reside on the application server. Those errors are out of the scope of these requirements.",None,SV-46727r3_rule,F-39984r2_fix,Configure the application server to not write sensitive information into the logs and administrative messages.,C-43794r2_chk,"Review system documentation and logs to determine if the application server writes sensitive information such as passwords or private keys into the logs and administrative messages.

If the application server writes sensitive or potentially harmful information into the logs and administrative messages, this is a finding."
V-27096,medium,"The organization must employ a wireless Intrusion Detection System (IDS) to detect potential compromises/breaches to the information system.

","Wireless IDS is used to detect and alarm on known attack patterns.

This is a requirement to deploy wireless IDS network monitoring. This does not apply to applications. ",None,SV-34391r1_rule,None,None,None,None
V-57483,medium,The application server must generate log records when concurrent logons from different workstations occur to the application server management interface.,"Being able to work on a system through multiple views into the application allows a user to work more efficiently and more accurately.  Before environments with windowing capabilities or multiple desktops, a user would log onto the application from different workstations or terminals.  With today's workstations, this is no longer necessary and may signal a compromised session or user account.

When concurrent logons are made from different workstations to the management interface, a log record needs to be generated.  This allows the system administrator to investigate the incident and to be aware of the incident.",None,SV-71759r2_rule,F-62551r1_fix,Configure the application server to generate log records showing concurrent logons from different workstations to the management interface.,C-58191r1_chk,"Review the application server documentation and the system configuration to determine if the application server generates log records showing concurrent logons from different workstations to the management interface.

If concurrent logons from different workstations are not logged, this is a finding."
V-70341,medium,Access privileges to the Configuration Management (CM) repository must be reviewed every three months.,"A Configuration Management (CM) repository is used to manage application code versions and to securely store application code.

Incorrect access privileges to the CM repository can lead to malicious code or unintentional code being introduced into the application.

This requirement is intended to be applied to application developers or organizations responsible for code management or who have and operate an application CM repository.",None,SV-84963r1_rule,F-76577r1_fix,Review access privileges to the CM repository at least every three months.,C-70795r1_chk,"Review the application system documentation.

Interview the application administrator.

Identify if development of the application is done in house and if application configuration management repository exists.

If application development is not done in house and if a code configuration management repository does not exist, the requirement is not applicable.

Review CM management processes and procedures.

Verify the CM repository access permissions are reviewed at least every three months.

Ask the application administrator or the CM administrator when the last time the CM access privileges were reviewed.

If CM access privileges have not been reviewed within the last three months, this is a finding."
V-6156,high,"The designer will ensure the application does not contain embedded authentication data. 
","Authentication data stored in code could potentially be read and used by anonymous users to gain access to a backend database or application server. This could lead to immediate access to a backend server.
","['IAIA-1', 'IAIA-2']",SV-6156r1_rule,F-17025r1_fix,"Remove embedded authentication data stored in code, configuration files, scripts, HTML file, or any ASCII files.",C-14176r1_chk,"Review source code (including global.asa, if present), configuration files, scripts, HTML file, and any ASCII files to locate any instances in which a password, certificate, or sensitive data is included in code.  

If credentials were found, check the file permissions on the offending file.  
 
1) If the file permissions indicate that the file has no access control permissions (everyone can read or is world readable), this is a CAT I finding.  
 
2) If there is a level of file protection that requires that at least authenticated users have read access, this is a CAT I finding.  
 
3) If a level of protection exists that only administrators or those with a UID of 0 can read the file, this is a CAT II finding.
 
The finding details should note specifically where the offending credentials or data were located and what resources they enabled."
V-35139,medium,"For application servers providing log record aggregation, the application server must compile log records from organization-defined information system components into a system-wide log trail that is time-correlated with an organization-defined level of tolerance for the relationship between time stamps of individual records in the log trail.","Log generation and log records can be generated from various components within the application server. The list of logged events is the set of events for which logs are to be generated. This set of events is typically a subset of the list of all events for which the system is capable of generating log records (e.g., logable events, time stamps, source and destination addresses, user/process identifiers, event descriptions, success/fail indications, filenames involved, and access control or flow control rules invoked).

The events occurring must be time-correlated in order to conduct accurate forensic analysis. In addition, the correlation must meet certain tolerance criteria. For instance, DoD may define that the time stamps of different logged events must not differ by any amount greater than ten seconds. It is also acceptable for the application server to utilize an external logging tool that provides this capability.",None,SV-46426r3_rule,F-39690r2_fix,Configure the application server or an external logging tool supporting the application server to compile log records from multiple components within the server into a system-wide log trail that is time-correlated with an organization-defined level of tolerance for the relationship between time stamps of individual records in the log trail.,C-43526r2_chk,"Review the application server log feature configuration to determine if the application server or an external logging tool in conjunction with the application server does compile log records from multiple components within the server into a system-wide log trail that is time-correlated with an organization-defined level of tolerance for the relationship between time stamps of individual records in the log trail.

If the application server does not meet this requirement, this is a finding."
V-70385,low,The application development team must follow a set of coding standards.,"Coding standards are guidelines established by the development team or individual developers that recommend programming style, practices and methods.  The coding standards employed will vary based upon the programming language that is being used to develop the application and the development team.

Coding standards often cover the use of white space characters, variable naming conventions, function naming conventions, and comment styles.  Implementing coding standards provides many benefits to the development process.  These benefits include code readability, coding consistency among both individual and teams of developers as well as ease of code integration.  

The following are examples of what will typically be in a coding standards document.  This list is an example of what one can expect to find in typical coding standard documents and is not a comprehensive list:

- Indent style conventions
- Naming conventions
- Line length conventions
- Comment conventions
- Programming best practices
- Programming style conventions

Coding standards allow developers to quickly adapt to code which has been developed by various members of a development team.  Coding standards are useful in the code review process as well as in situations where a team member leaves and duties must then be assigned to another team member.  

Code conforming to a standard format is easier to read, especially if someone other than the original developer is examining the code.  In addition, formatted code can be debugged and corrected faster than unformatted code.

Introducing coding standards can help increase the consistency, reliability, and security of the application by ensuring common programming structures and tasks are handled by similar methods, as well as, reducing the occurrence of common logic errors.",None,SV-85007r1_rule,F-76621r1_fix,"Create and maintain a coding standard process and documentation for developers to follow.  

Include programming best practices based on the languages being used for application development.  Include items that should be standardized across the team that deal with how developers write their application code.",C-70839r1_chk,"This requirement is meant to apply to developers or organizations that are doing application development work. If the organization operating the application under review is not doing the development or managing the development of the application, the requirement is not applicable.

Ask the application representative about their coding standards.  Ask for a coding standards document, review the document and ask the developers if they are aware of and if they use the coding standards.  Make a determination if the application developers follow the coding standard. 

If the developers do not follow a coding standard, or if a coding standard document does not exist, this is a finding."
